name,MEM_MATCH_ID,xapa_ra,xapa_dec,rm_ra,rm_dec,z,r500,r500-,r500+,richness,richness_err,XCS_NAME,R_LAMBDA,xmm_targeted,xmm_serendipitous
SDSSXCS-10401,10401,179.61596,26.49539,179.60749535238472,26.4980428555687,0.1411,609.736,22.255,21.94,24.794,2.297,XMMXCS J115827.8+262943.4,0.7566024,,Y
SDSSXCS-58896,58896,180.92831,44.08517,180.9277040581352,44.085459288476535,0.3359,446.239,26.574,62.819,20.202,2.86,XMMXCS J120342.7+440506.6,0.7262364,,Y
SDSSXCS-474,474,180.96914,1.79169,180.97275918229118,1.7834583508627997,0.2415,534.294,29.764,27.02,80.123,4.116,XMMXCS J120352.5+014730.0,0.9566471999999999,,Y
SDSSXCS-7247,7247,181.16076,35.376,181.15215178276105,35.37155881638689,0.1897,340.506,22.656,22.387,23.68,2.264,XMMXCS J120438.5+352233.5,0.7496803000000001,,Y
SDSSXCS-19467,19467,182.81342,39.19605,182.81370267573243,39.193807364616866,0.3376,1038.445,62.315,72.487,37.562,5.767,XMMXCS J121115.2+391145.7,0.8221473,Y,
SDSSXCS-455,455,184.90442,-3.31137,184.90500720617158,-3.3095125435938284,0.3039,898.923,24.858,24.974,87.781,4.779,XMMXCS J121937.0-031840.9,0.9742725,Y,
SDSSXCS-1174,1174,187.58269,16.2771,187.5868347572712,16.293705414452084,0.1974,989.069,100.08,167.586,50.422,2.964,XMMXCS J123019.8+161637.5,0.87201476,,Y
SDSSXCS-608,608,187.77237,15.94096,187.77102647646683,15.9365820681049,0.1841,703.882,46.747,49.767,58.385,2.909,XMMXCS J123105.3+155627.4,0.89796674,,Y
SDSSXCS-1645,1645,188.48142,15.43562,188.48055240413257,15.43305233971104,0.2281,1029.239,23.423,23.451,51.352,3.18,XMMXCS J123355.5+152608.2,0.8752099,Y,
SDSSXCS-225,225,188.5954,9.78853,188.60036066307475,9.787638325896507,0.2296,929.679,17.488,17.513,92.968,4.225,XMMXCS J123422.8+094718.7,0.9855229,Y,
